,galex_objid,sdss_objid,u,g,r,i,z,nuv_mag,eu,eg,er,ei,ez,nuv-u,nuv-g,nuv-r,nuv-i,nuv-z,u-g,u-r,u-i,u-z,g-r,g-i,g-z,r-i,r-z,i-z,c,rs,pred
21137,6.37897303575442e+18,1.23765076185973e+18,23.6735649109,22.0207176208,22.118238449099998,22.1594390869,23.0149288177,0.0893245786,0.0696011037,0.048149723600000006,0.0357804038,0.0266140476,21.5788784027,-2.0946865082,-0.44183921810000004,-0.5393600464,-0.5805606842000001,-1.436050415,1.6528472901,1.5553264618,1.514125824,0.6586360932,-0.0975208283,-0.1387214661,-0.9942111968999999,-0.041200637799999995,-0.8966903686,-0.8554897308,0,0.003800523,0
21191,3.78767036063312e+18,1.23765076292954e+18,22.490713119499997,21.4994773865,21.1670246124,20.7938556671,20.479187011700002,0.10704416779999999,0.08340809490000001,0.057701330599999996,0.0428782739,0.0318935588,23.115474700900002,0.6247615814,1.6159973144,1.9484500885,2.3216190338,2.6362876892,0.991235733,1.3236885071,1.6968574524000002,2.0115261078,0.3324527741,0.7056217194,1.0202903748,0.3731689453,0.6878376006999999,0.3146686554,0,0.0033335914,1
22075,2.43032765419016e+18,1.23765182271462e+18,21.2862071991,20.294006347699998,19.988325119000002,19.6763439178,19.319700241099998,0.1759399772,0.1370912343,0.0948390886,0.07047560809999999,0.052420903,24.0871620178,2.8009548187,3.7931556701,4.0988368988,4.410818099999999,4.7674617767,0.9922008514,1.2978820801,1.6098632813,1.966506958,0.30568122870000003,0.6176624299,0.9743061065999999,0.3119812012,0.6686248779,0.3566436767,0,0.0039198422,1
22294,3.8841107245286e+18,1.23765294370003e+18,22.8433704376,21.850246429400002,21.7237033844,21.9585018158,22.000659942600002,0.2907905877,0.2265820503,0.156748414,0.116480872,0.08664036539999999,23.6232776642,0.7799072266,1.7730312348,1.8995742798,1.6647758484000001,1.6226177216,0.9931240081999999,1.1196670532,0.8848686218,0.842710495,0.126543045,-0.1082553864,-0.15041351320000002,-0.2347984314,-0.2769565582,-0.042158126799999994,0,0.0038190112,0
22375,2.43574604749184e+18,1.23765294907018e+18,21.542995452899998,20.5544223785,20.262023925799998,20.1205883026,20.1646289825,0.2830407321,0.2205434293,0.15257091820000002,0.1133765504,0.08433132619999999,23.9072418213,2.3642463684,3.3528194427999995,3.6452178955,3.7866535187,3.7426128388,0.9885730744,1.2809715271,1.4224071503,1.3783664703999998,0.2923984527,0.43383407590000006,0.389793396,0.1414356232,0.0973949433,-0.044040679900000004,0,0.00357306,0
24361,2.49939457660054e+18,1.23765862969567e+18,25.672410965,21.668636321999998,21.2932167053,20.8470878601,20.7517662048,0.0948053375,0.0738716722,0.051104083700000004,0.0379758105,0.0282470267,23.6450252533,-2.0273857117,1.9763889313,2.351808548,2.7979373932,2.8932590485,4.003774643,4.3791942597,4.8253231049,4.9206447602,0.3754196167,0.8215484619,0.9168701172,0.4461288452,0.5414505005,0.09532165529999999,0,0.0033288144,1
24369,6.46414554543057e+18,1.23765911987834e+18,20.6056118011,20.2851104736,20.353471755999998,20.6425457001,20.8743610382,0.19416911899999997,0.1512952596,0.10466536130000001,0.0777775869,0.057852231,20.8108711243,0.2052593232,0.5257606507,0.4573993683,0.16832542420000002,-0.0634899139,0.3205013275,0.25214004510000004,-0.036933899,-0.2687492371,-0.0683612824,-0.3574352265,-0.5892505646,-0.2890739441,-0.5208892822,-0.2318153381,0,0.0037859559999999996,0
26427,3.77658728362646e+18,1.23766269757784e+18,21.393955230699998,20.9840583801,20.8422679901,20.3829460144,19.7594203949,0.29889684920000004,0.23289838429999998,0.1611180305,0.1197279617,0.0890556052,22.317771911599998,0.9238166809,1.3337135315000002,1.4755039215,1.9348258972,2.5583515166999997,0.40989685060000003,0.5516872406000001,1.0110092163,1.6345348358,0.14179039,0.6011123657,1.2246379852,0.4593219757,1.0828475952,0.6235256195000001,0,0.0033523343,1
26449,2.91559051403933e+18,1.23766378259251e+18,25.2656707764,22.891094207800002,22.888910293600002,21.4324035645,19.40716362,0.2187409848,0.1704414934,0.1179106385,0.08762024339999999,0.0651733652,23.9239311218,-1.3417396546,1.032836914,1.0350208282,2.4915275573,4.5167675018,2.3745765686,2.3767604828,3.8332672119,5.8585071564,0.0021839142,1.4586906433000002,3.4839305877999998,1.4565067291,3.4817466736,2.0252399445,0,0.0035622634,0
26469,3.22834439773829e+18,1.23766413209515e+18,18.7102966309,17.8744049072,17.6942901611,17.623020172100002,17.4215545654,0.0986256599,0.07684844730000001,0.053163401799999996,0.0395061038,0.0293852836,19.664207458499998,0.9539108276,1.7898025513,1.9699172974,2.0411872864,2.2426528931,0.8358917237000001,1.0160064698,1.0872764588,1.2887420655,0.1801147461,0.25138473510000003,0.4528503418,0.071269989,0.2727355957,0.20146560670000002,0,0.003647397,0
