,Unnamed: 0,galex_objid,sdss_objid,u,g,r,i,z,nuv_mag,eu,eg,er,ei,ez,nuv-u,nuv-g,nuv-r,nuv-i,nuv-z,u-g,u-r,u-i,u-z,g-r,g-i,g-z,r-i,r-z,i-z,c,rs,pred
924,2895,6.37904343026631e+18,1.23766829337392e+18,21.9926338196,21.4057865143,21.3605060577,21.4334754944,22.034763336199997,0.0858230591,0.0668727458,0.0462622531,0.034377813300000004,0.0255707763,22.7994670868,0.8068332672,1.3936805725,1.4389610291,1.3659915924,0.7647037506000001,0.5868473053000001,0.6321277619,0.5591583252000001,-0.0421295166,0.045280456600000005,-0.0276889801,-0.6289768218999999,-0.0729694367,-0.6742572785,-0.6012878418,1,6.78013675496913e-05,0
933,2913,6.3790434120148e+18,1.23766829391e+18,20.40275383,20.1272964478,20.490251541099997,20.7139434814,20.8750934601,0.0828818157,0.0645809472,0.0446768031,0.033199653,0.0246944427,19.9094295502,-0.4933242798,-0.21786689760000005,-0.5808219909000001,-0.8045139312,-0.9656639099,0.2754573822,-0.0874977111,-0.3111896514,-0.4723396301,-0.3629550933,-0.5866470336,-0.7477970123000001,-0.2236919403,-0.384841919,-0.1611499787,1,6.7661349021364e-05,0
969,2986,3.23003324759855e+18,1.23766829713234e+18,23.1274032593,21.2071876526,20.925842285199998,20.8067111969,21.0478878021,0.1049425527,0.0817705244,0.0565684699,0.0420364365,0.0312673859,23.6167926788,0.4893894195,2.4096050262,2.6909503936,2.8100814819,2.5689048767,1.9202156067,2.2015609741,2.3206920624,2.0795154572,0.2813453674,0.4004764557,0.1592998505,0.1191310883,-0.1220455169,-0.2411766052,1,0.00033039260000000003,0
1394,3998,6.37781198690688e+18,1.23767096484666e+18,20.8577976227,20.2820549011,19.7345409393,19.3739681244,19.0483169556,0.1303904504,0.101599358,0.070285961,0.0522300042,0.0388495252,21.4760608673,0.6182632446,1.1940059662,1.7415199280000002,2.1020927429,2.4277439117,0.5757427216,1.1232566834,1.4838294983000002,1.8094806671,0.5475139618,0.9080867767,1.2337379455,0.3605728149,0.6862239837,0.3256511688,1,-0.000580936,1
1750,4702,3.78418710799766e+18,1.23767859647565e+18,22.3956127167,22.0511989594,21.9325275421,22.0874729156,21.708641052199997,0.1844637692,0.14373292029999998,0.0994337723,0.0738899484,0.0549605489,23.4171657562,1.0215530395,1.3659667968,1.4846382141,1.3296928406,1.708524704,0.3444137573,0.4630851746,0.3081398011,0.6869716645,0.1186714173,-0.0362739562,0.3425579072,-0.15494537349999998,0.2238864899,0.3788318634,1,0.0003045673,1
1782,4842,6.38101373899716e+18,1.23767859701966e+18,22.3414497375,22.0611476898,22.1399745941,22.2682723999,21.430185318,0.1286099851,0.1002120301,0.0693262219,0.051516812300000006,0.0383190438,21.9272880554,-0.4141616821,-0.13385963439999998,-0.2126865387,-0.34098434450000004,0.4971027374,0.2803020477,0.2014751434,0.0731773376,0.9112644195,-0.0788269043,-0.20712471010000005,0.6309623718,-0.1282978058,0.7097892761,0.8380870819,1,0.0007987402,0
1796,4883,6.37615831927122e+18,1.23767859754834e+18,21.552309036300002,21.1358776093,21.0774765015,20.9600543976,20.9213409424,0.2039603293,0.1589245051,0.1099432409,0.0816996098,0.0607694983,22.0303726196,0.4780635833,0.8944950103,0.9528961181,1.070318222,1.1090316772,0.416431427,0.4748325348,0.5922546387,0.6309680939,0.0584011078,0.1758232117,0.2145366669,0.1174221039,0.15613555910000002,0.0387134552,1,0.0005750821,0
2033,5936,6.37615830423883e+18,1.23767861902521e+18,22.6462268829,21.7926273346,21.846912384,21.828220367399997,22.3365097046,0.2079501301,0.1620333344,0.1120939106,0.0832977891,0.0619582534,23.0305671692,0.3843402863,1.2379398346,1.1836547852,1.2023468018,0.6940574646,0.8535995483,0.7993144989000001,0.8180065154999999,0.3097171783,-0.054285049400000014,-0.0355930328,-0.54388237,0.0186920166,-0.4895973206,-0.5082893372,1,-9.232310549123209e-05,0
2208,6720,2.91703307329497e+18,1.23767866035785e+18,21.432380676300003,20.9840373993,20.93009758,20.7473468781,20.6336479187,0.1024409831,0.0798213184,0.0552200191,0.041034393,0.0305220503,22.9809970856,1.5486164093,1.9969596863,2.0508995056,2.2336502075,2.3473491669,0.448343277,0.5022830963,0.6850337981999999,0.7987327576000001,0.0539398193,0.2366905212,0.3503894806,0.1827507019,0.2964496613,0.1136989594,1,-0.0005820816,1
2245,6860,6.38101371537484e+18,1.23767866142346e+18,20.513839721700002,20.4024868011,20.10779953,20.1738491058,20.226860046400002,0.1812268645,0.1412107497,0.0976889431,0.0725933537,0.0539961159,21.1962413788,0.6824016570999999,0.7937545776999999,1.0884418488,1.022392273,0.9693813324,0.1113529206,0.4060401917,0.3399906159,0.2869796753,0.2946872711,0.2286376953,0.1756267547,-0.0660495758,-0.1190605164,-0.0530109406,1,0.0,1
2418,7640,2.904366699343e+18,1.2376788257076e+18,22.491800308200002,21.684888839699997,21.5006809235,21.4333286285,21.2490653992,0.2651234269,0.2065823674,0.1429127306,0.1061994731,0.0789928958,24.2241001129,1.7322998047,2.5392112732,2.7234191894,2.7907714844,2.9750347137,0.8069114685,0.9911193847,1.0584716797,1.2427349090000002,0.1842079162,0.2515602112,0.4358234405,0.067352295,0.2516155243,0.1842632293,1,-0.0005443562,0
2490,7897,4.48161173154248e+18,1.23767885900114e+18,21.195747375499998,20.8117580414,20.606750488299998,20.5968418121,20.4914360046,0.2950939238,0.2299351841,0.1590680927,0.1182046458,0.0879225433,23.072502136199997,1.8767547607,2.2607440948,2.4657516479,2.4756603241,2.5810661316,0.3839893341,0.5889968872,0.5989055634,0.7043113709000001,0.2050075531,0.2149162293,0.3203220368,0.0099086762,0.1153144837,0.1054058075,1,-0.000561813,1
2519,7984,6.38097851167539e+18,1.23767885954751e+18,22.916334152199997,21.912992477399996,21.787578582800002,21.7361125946,21.4192314148,0.32567301390000003,0.2537622154,0.1755515188,0.1304535866,0.0970335081,22.2510414124,-0.6652927397999999,0.338048935,0.4634628296,0.5149288178,0.8318099976000001,1.0033416748,1.1287555694,1.1802215576,1.4971027374,0.12541389460000002,0.1768798828,0.4937610626,0.0514659882,0.368347168,0.3168811798,1,0.0,1
2520,7991,6.38020445012283e+18,1.2376788595519e+18,22.771701812699998,21.6230831146,21.5957107544,21.6096248627,21.4811172485,0.2909789681,0.2267288417,0.1568499655,0.116556339,0.0866964981,21.989253997800002,-0.7824478148999999,0.3661708832,0.3935432434,0.3796291351,0.5081367493,1.1486186981,1.1759910583,1.16207695,1.2905845642,0.0273723602,0.0134582519,0.1419658661,-0.0139141083,0.1145935059,0.1285076142,1,-0.0001970142,0
2794,9345,6.37605274897508e+18,1.23767890785586e+18,25.8681507111,21.7698173523,21.542022705100003,21.3677444458,21.2392692566,0.3374922872,0.2629716992,0.1819226146,0.1351879984,0.1005550325,23.094837188699998,-2.7733135224,1.3250198364,1.5528144836000002,1.7270927428999998,1.8555679321,4.0983333588,4.326128006,4.5004062653,4.6288814545,0.2277946472,0.4020729065,0.5305480957,0.1742782593,0.3027534485,0.1284751892,1,-4.6631925215479e-05,1
