,g_id,s_id,u,g,r,i,z,extinction_u,extinction_g,extinction_r,extinction_i,extinction_z,nuv_mag,fuv_mag,nuv-u,nuv-g,nuv-r,nuv-i,nuv-z,u-g,u-r,u-i,u-z,g-r,g-i,g-z,r-i,r-z,i-z,fuv-nuv,fuv-u,fuv-g,fuv-r,fuv-i,fuv-z,c,rs,pred
129,6.37482127662672e+18,1.23766743010673e+18,20.0902900696,19.8342838287,20.1402339935,20.422618866,20.341846466099998,0.0807423815,0.062913917,0.0435235575,0.0323426686,0.0240570027,20.093137741099998,19.7089252472,0.0028476715,0.2588539124,-0.047096252400000004,-0.3294811249,-0.248708725,0.2560062409,-0.0499439239,-0.3323287964,-0.2515563965,-0.3059501648,-0.5883350372999999,-0.5075626374000001,-0.2823848725,-0.2016124726,0.0807723999,0.3842124939,0.3813648224,0.1253585815,0.43130874630000005,0.7136936187999999,0.6329212189,0,-0.0001761721,0
138,6.37482128306917e+18,1.23766743118099e+18,20.2501277924,19.9918365479,20.2526512146,20.5577602386,20.9142494202,0.08628282699999999,0.067230992,0.0465100892,0.0345619805,0.0257077646,20.2634487152,20.8514919281,0.013320922800000001,0.2716121673,0.010797500600000001,-0.2943115234,-0.650800705,0.2582912445,-0.0025234222,-0.3076324462,-0.6641216278000001,-0.26081466670000003,-0.5659236907,-0.9224128723,-0.305109024,-0.6615982056,-0.3564891816,-0.5880432129,-0.6013641357,-0.8596553802,-0.5988407135,-0.2937316895,0.0627574921,0,-0.0005995611,0
146,3.1917174663959e+18,1.23766744243824e+18,22.550403595,21.2572402954,21.478666305500003,21.4991226196,21.6885089874,0.0343703106,0.026781112000000003,0.018527049599999998,0.0137675833,0.0102405529,23.5761260986,23.415327072100002,1.0257225036,2.3188858031999997,2.0974597931,2.077003479,1.8876171112,1.2931632996,1.0717372895000001,1.0512809754,0.8618946076,-0.22142601010000001,-0.24188232420000003,-0.431268692,-0.020456314099999998,-0.20984268190000002,-0.1893863678,0.1607990265,-0.8649234771,-2.1580867767,-1.9366607666,-1.9162044525,-1.7268180847,0,0.0001341276,0
147,6.37485648569487e+18,1.23766744297072e+18,18.7294788361,18.7451763153,19.1447868347,19.4411468506,19.767282486,0.0838658884,0.0653477311,0.045207258300000004,0.033593837200000004,0.024987643599999998,18.2808094025,17.943971633900002,-0.4486694336,-0.46436691280000003,-0.8639774322,-1.1603374481,-1.4864730835,-0.0156974792,-0.4153079986,-0.7116680145000001,-1.0378036498999998,-0.3996105194,-0.6959705353,-1.0221061706999999,-0.2963600159,-0.6224956513000001,-0.3261356354,0.3368377686,0.7855072022,0.8012046814,1.2008152008,1.4971752166999999,1.8233108521,0,-0.0001396575,0
148,6.37485650394848e+18,1.2376674429721e+18,20.1208877563,19.9175109863,20.2168617249,20.4553356171,20.815261840799998,0.0860978141,0.0670868307,0.046410359400000004,0.0344878696,0.0256526396,20.0668182373,19.5851402283,-0.054069519,0.149307251,-0.1500434876,-0.38851737979999995,-0.7484436034999999,0.20337677,-0.0959739686,-0.3344478608,-0.6943740845,-0.2993507386,-0.5378246308,-0.8977508545,-0.23847389219999998,-0.5984001159000001,-0.3599262237,0.48167800899999996,0.5357475279999999,0.332370758,0.6317214966,0.8701953887999999,1.2301216125,0,-0.0007790774,0
178,6.37781196328666e+18,1.23766753746433e+18,22.8030147552,21.786407470700002,21.8180618286,21.846406936599998,21.3802337646,0.1160394847,0.0904171839,0.0625501871,0.0464814939,0.0345736891,22.6487674713,22.4891338348,-0.1542472839,0.8623600006000001,0.8307056426999999,0.8023605347,1.2685337067,1.0166072845,0.9849529266,0.9566078186,1.4227809906,-0.0316543579,-0.0599994659,0.4061737061,-0.028345107999999997,0.43782806399999996,0.466173172,0.1596336365,0.3138809204,-0.7027263641,-0.6710720062,-0.6427268982,-1.1089000702,0,0.0006031282,0
194,6.38263222763153e+18,1.23766773449838e+18,20.4161815643,19.9756336212,20.148141861,20.3566875458,20.4859218597,0.1046088412,0.08151049910000001,0.056388586799999994,0.0419027656,0.0311679579,20.5976696014,21.182441711400003,0.1814880371,0.6220359802000001,0.4495277404,0.2409820556,0.1117477417,0.4405479431,0.2680397033,0.059494018499999995,-0.0697402954,-0.17250823980000002,-0.3810539246,-0.5102882385,-0.2085456848,-0.3377799987,-0.1292343139,-0.58477211,-0.7662601470999999,-1.2068080902,-1.0342998504,-0.8257541656,-0.6965198517,0,0.000126198,0
198,6.37767121828211e+18,1.23766773503086e+18,20.0867538452,20.3437900543,20.7626552582,21.1242179871,21.5812759399,0.1212149113,0.0944498405,0.06533996019999999,0.04855459559999999,0.0361156985,19.4303646088,19.0871105194,-0.6563892364,-0.9134254454999999,-1.3322906494,-1.6938533783,-2.1509113311,-0.2570362091,-0.675901413,-1.0374641419,-1.4945220947,-0.4188652039,-0.7804279328,-1.2374858856,-0.3615627289,-0.8186206817,-0.4570579528,0.34325408939999996,0.9996433257999999,1.2566795349,1.6755447388,2.0371074677000003,2.4941654205000003,0,0.0001005833,0
206,6.37862114478889e+18,1.23766773504921e+18,17.1753025055,15.9758729935,15.949412345899999,15.9901437759,16.0265750885,0.17748600239999998,0.1382958889,0.0956724584,0.0710948855,0.052881535099999995,18.8659248352,21.6117248535,1.6906223297,2.8900518417,2.9165124893,2.8757810593,2.8393497467,1.199429512,1.2258901596,1.1851587296,1.1487274170000001,0.026460647599999998,-0.0142707824,-0.050702095,-0.04073143,-0.0771627426,-0.036431312599999995,-2.7458000182999998,-4.436422348,-5.63585186,-5.6623125076,-5.6215810776,-5.585149765,0,0.0006784725,0
212,6.37767121935585e+18,1.23766773556727e+18,20.163740158099998,19.8678894043,19.9891986847,20.0968132019,20.6596679688,0.10802963380000001,0.0841759592,0.0582325384,0.043273016799999994,0.032187175,20.4102363586,21.5761528015,0.2464962005,0.5423469543,0.4210376739,0.31342315670000004,-0.2494316102,0.2958507538,0.1745414734,0.0669269562,-0.4959278107,-0.1213092804,-0.2289237976,-0.7917785645000001,-0.10761451720000001,-0.6704692841,-0.5628547669,-1.1659164429,-1.4124126434,-1.7082633972,-1.5869541168,-1.4793395996,-0.9164848326999999,0,0.00044202550000000003,0
228,6.37767125586307e+18,1.23766773610493e+18,19.9354915619,19.966184616099998,20.3867511749,20.6352291107,21.0080184937,0.1039365828,0.0809866786,0.0560262129,0.041633479300000005,0.0309676602,19.5994548798,19.373714447,-0.3360366821,-0.36672973630000005,-0.7872962951000001,-1.0357742309,-1.4085636139,-0.0306930542,-0.45125961299999995,-0.6997375487999999,-1.0725269318000001,-0.42056655880000005,-0.6690444946,-1.0418338776,-0.2484779358,-0.6212673188000001,-0.372789383,0.2257404328,0.5617771149,0.5924701690999999,1.0130367279,1.2615146637,1.6343040466999998,0,-0.0001060181,0
229,6.3826321599858e+18,1.23766773610617e+18,20.5992393494,20.3215026855,20.378845214800002,20.1670074463,19.6165313721,0.1172193289,0.09133651109999999,0.0631861761,0.0469540991,0.034925222400000004,20.6919059753,20.2530193329,0.0926666259,0.3704032898,0.31306076050000003,0.524898529,1.0753746032,0.2777366639,0.2203941346,0.43223190310000004,0.9827079773,-0.0573425293,0.1544952392,0.7049713134000001,0.21183776850000002,0.7623138426999999,0.5504760742,0.4388866424,0.3462200165,0.06848335259999999,0.1258258819,-0.0860118866,-0.6364879608,0,2.13658108805248e-06,1
235,6.37872676877212e+18,1.23766773612203e+18,19.993993759200002,20.0609989166,20.4203090668,20.768444061300002,20.7322692871,0.1198842898,0.09341302509999999,0.0646227002,0.0480215922,0.0357192419,19.7141456604,19.28657341,-0.2798480988,-0.34685325619999996,-0.7061634064,-1.0542984009,-1.0181236267,-0.0670051574,-0.42631530759999997,-0.7744503021,-0.7382755279000001,-0.3593101502,-0.7074451447,-0.6712703704999999,-0.3481349945,-0.31196022030000004,0.0361747742,0.42757225039999996,0.7074203492,0.7744255066,1.1337356568,1.4818706513,1.4456958771000001,0,9.313607006333771e-05,0
271,6.37862116411625e+18,1.2376677817651e+18,20.0748786926,19.977060318,20.2965278625,20.594789505,21.1650409698,0.1706287563,0.13295277949999998,0.09197611359999999,0.06834810969999999,0.050838436900000006,19.916093826300003,19.5309562683,-0.15878486630000002,-0.0609664917,-0.3804340362,-0.6786956787,-1.2489471435,0.09781837460000001,-0.22164916989999997,-0.5199108124,-1.0901622772,-0.3194675445,-0.617729187,-1.1879806518,-0.2982616425,-0.8685131073000001,-0.5702514648,0.385137558,0.5439224243,0.4461040497,0.7655715942,1.0638332367,1.6340847015,0,-1.29691825350164e-05,0
280,3.1560405128965e+18,1.23766778229765e+18,22.4543514252,21.4027271271,21.312324523900003,21.436290741,21.581901550300003,0.1265316606,0.0985926166,0.0682059154,0.050684303,0.0376998112,23.7006988525,23.197608947800003,1.2463474273000001,2.2979717254,2.3883743286000003,2.2644081115,2.1187973022,1.0516242981000001,1.1420269013,1.0180606842,0.8724498748999999,0.0904026032,-0.033563613900000004,-0.17917442320000002,-0.12396621710000001,-0.26957702640000003,-0.1456108093,0.5030899047,-0.7432575226000001,-1.7948818207,-1.8852844239,-1.7613182068000002,-1.6157073975,0,-7.448422547895459e-05,0
282,6.37862117485367e+18,1.23766778230224e+18,19.9888725281,19.8674869537,20.1943759918,20.4250125885,20.6527996063,0.1750045568,0.1363623589,0.0943348482,0.07010090349999999,0.0521421954,19.6868972778,19.5101776123,-0.3019752503,-0.1805896759,-0.507478714,-0.7381153106999999,-0.9659023284999999,0.1213855744,-0.2055034637,-0.4361400604,-0.6639270782,-0.3268890381,-0.5575256348,-0.7853126526,-0.23063659670000003,-0.4584236145,-0.22778701780000002,0.1767196655,0.4786949158,0.3573093414,0.6841983795000001,0.9148349762000001,1.142621994,0,-7.73576684878208e-05,0
291,6.37886750733422e+18,1.23766778283314e+18,20.1280212402,19.9894561768,20.2922782898,20.5919513702,21.6167354584,0.1089594588,0.0849004686,0.0587337539,0.0436454751,0.0324642137,19.7227916718,19.4716377258,-0.4052295684,-0.266664505,-0.569486618,-0.8691596984000001,-1.8939437866,0.1385650634,-0.1642570496,-0.46393013,-1.4887142182,-0.302822113,-0.6024951934,-1.6272792816,-0.2996730804,-1.3244571686,-1.0247840881999999,0.251153946,0.6563835144,0.517818451,0.8206405640000001,1.1203136444,2.1450977326,0,8.57272534631193e-05,0
