g_id,s_id,u,g,r,i,z,extinction_u,extinction_g,extinction_r,extinction_i,extinction_z,nuv_mag,fuv_mag,nuv-u,nuv-g,nuv-r,nuv-i,nuv-z,u-g,u-r,u-i,u-z,g-r,g-i,g-z,r-i,r-z,i-z,fuv-nuv,fuv-u,fuv-g,fuv-r,fuv-i,fuv-z,c,rs,pred
6.3878746561231E+018,1.23766725400678E+018,20.4512729645,20.1566314697,20.0938892365,19.8942661285,19.8032417297,0.1053386778,0.082079187,0.0567819998,0.0421951115,0.0313854106,21.2882614136,21.4719047546,0.8369884491,1.1316299439,1.1943721771,1.3939952851,1.4850196839,0.2946414948,0.357383728,0.557006836,0.6480312348,0.0627422332,0.2623653412,0.35338974,0.199623108,0.2906475068,0.0910243988,-0.183643341,-1.0206317901,-1.3152732849,-1.3780155181,-1.5776386261,-1.6686630249,1,1.5878230333,1
6.3878746561231E+018,1.23766725400684E+018,20.3779220581,20.1866493225,19.9273891449,19.9286766052,19.89960289,0.1124358997,0.0876092911,0.0606077053,0.0450380184,0.033500012,20.9015331268,21.490240097,0.5236110687,0.7148838043,0.9741439819,0.9728565216,1.0019302368,0.1912727356,0.4505329132,0.4492454529,0.4783191681,0.2592601776,0.2579727173,0.2870464325,-0.0012874603,0.0277862549,0.0290737152,-0.5887069702,-1.1123180389,-1.3035907745,-1.5628509521,-1.5615634918,-1.590637207,1,1.134318471,1
3.05611689616422E+018,1.23766725400861E+018,21.0868778229,20.4285259247,20.0715637207,19.7597332001,19.6577548981,0.1405390948,0.1095071062,0.0757565126,0.0562952049,0.0418732911,22.1064834595,23.5418701172,1.0196056366,1.6779575348,2.0349197388,2.3467502594,2.4487285614,0.6583518982,1.0153141022,1.3271446228,1.4291229248,0.356962204,0.6687927246,0.7707710266,0.3118305206,0.4138088226,0.101978302,-1.4353866577,-2.4549922943,-3.1133441925,-3.4703063965,-3.7821369171,-3.8841152191,1,1.5212552547,1
6.37482125837311E+018,1.23766725401058E+018,21.8134670258,21.262304306,21.1698284149,21.0742721558,20.6533336639,0.0785780698,0.0612275004,0.0423569009,0.0314757191,0.0234121513,21.5846748352,22.5870094299,-0.2287921906,0.3223705292,0.4148464203,0.5104026794,0.9313411713,0.5511627198,0.6436386109,0.73919487,1.1601333619,0.0924758911,0.1880321502,0.6089706421,0.0955562591,0.516494751,0.4209384919,-1.0023345947,-0.7735424041,-1.3247051239,-1.417181015,-1.5127372741,-1.933675766,1,0.7477936745,1
6.37482125837311E+018,1.23766725401058E+018,21.1977996826,20.6849555969,20.0662403107,19.7987518311,19.5216388702,0.0779039636,0.060702242,0.0419935286,0.0312056933,0.0232113022,21.4969062805,21.858247757,0.2991065979,0.8119506836,1.4306659698,1.6981544494,1.9752674103,0.5128440857,1.1315593719,1.3990478515,1.6761608124,0.6187152862,0.8862037658,1.1633167267,0.2674884796,0.5446014405,0.2771129609,-0.3613414765,-0.6604480744,-1.1732921601,-1.7920074463,-2.0594959259,-2.3366088868,1,1.0442448854,1
6.3748212658893E+018,1.2376672540111E+018,20.1252040863,19.7612895966,19.7582111359,19.7375717163,19.6418399811,0.0933439583,0.0727329776,0.0503163375,0.0373904333,0.0278116111,20.8170604706,21.810131073,0.6918563843,1.055770874,1.0588493347,1.0794887543,1.1752204895,0.3639144897,0.3669929504,0.38763237,0.4833641052,0.0030784607,0.0237178803,0.1194496155,0.0206394196,0.1163711548,0.0957317352,-0.9930706024,-1.6849269867,-2.0488414764,-2.0519199371,-2.0725593567,-2.1682910919,1,0.6868904233,1
6.37482128092168E+018,1.23766725401176E+018,20.5707836151,20.1465702057,20.1186885834,19.813539505,19.5949497223,0.0959537849,0.074766539,0.0517231487,0.0384358428,0.028589204,20.1447105408,21.6420650482,-0.4260730743,-0.0018596649,0.0260219574,0.3311710358,0.5497608185,0.4242134094,0.4520950317,0.7572441101,0.9758338928,0.0278816223,0.3330307007,0.5516204834,0.3051490784,0.5237388611,0.2185897827,-1.4973545074,-1.0712814331,-1.4954948425,-1.5233764648,-1.8285255432,-2.0471153259,1,0.5928192735,1
6.37482129810155E+018,1.23766725401248E+018,19.8057918549,19.7611484528,20.1415405273,20.3683414459,20.8236198425,0.0801506415,0.0624528378,0.0432045832,0.0321056359,0.0238806959,19.2672843933,19.4467487335,-0.5385074616,-0.4938640595,-0.874256134,-1.1010570526,-1.5563354492,0.0446434021,-0.3357486724,-0.562549591,-1.0178279876,-0.3803920745,-0.6071929931,-1.0624713897,-0.2268009186,-0.6820793152,-0.4552783966,-0.1794643402,0.3590431214,0.3143997193,0.6947917938,0.9215927124,1.376871109,0,-0.0001174051,0
6.37485648354738E+018,1.23766725401569E+018,20.1399879456,19.4906692505,18.609287262,18.1571407318,17.9793224335,0.0851675496,0.0663619787,0.0459089093,0.03411524,0.0253754705,21.2530193329,21.7163715363,1.1130313873,1.7623500824,2.6437320709,3.0958786011,3.2736968994,0.6493186951,1.5307006836,1.9828472138,2.1606655121,0.8813819885,1.3335285187,1.511346817,0.4521465302,0.6299648285,0.1778182983,-0.4633522034,-1.5763835907,-2.2257022858,-3.1070842743,-3.5592308045,-3.7370491028,1,0.1752865463,1
6.37485650072725E+018,1.23766725401674E+018,20.4298267365,20.0073509216,19.9395027161,19.9090423584,19.6311149597,0.0860189497,0.0670253858,0.0463678502,0.0344562829,0.0256291423,20.5019836426,22.0219345093,0.0721569061,0.494632721,0.5624809265,0.5929412842,0.8708686829,0.4224758149,0.4903240204,0.5207843781,0.7987117768,0.0678482055,0.0983085632,0.3762359619,0.0304603577,0.3083877564,0.2779273987,-1.5199508667,-1.5921077728,-2.0145835877,-2.0824317932,-2.1128921509,-2.3908195496,1,0.6902564764,1
