Index,P. Name,P. Name Kepler,P. Name KOI,P. Zone Class,P. Mass Class,P. Composition Class,P. Atmosphere Class,P. Habitable Class,P. Min Mass (EU),P. Mass (EU),P. Max Mass (EU),P. Radius (EU),P. Density (EU),P. Gravity (EU),P. Esc Vel (EU),P. SFlux Min (EU),P. SFlux Mean (EU),P. SFlux Max (EU),P. Teq Min (K),P. Teq Mean (K),P. Teq Max (K),P. Ts Min (K),P. Ts Mean (K),P. Ts Max (K),P. Surf Press (EU),P. Mag,P. Appar Size (deg),P. Period (days),P. Sem Major Axis (AU),P. Eccentricity,Imputed Eccentricity,Imputed Eccentricity (EU),P. Mean Distance (AU),P. Inclination (deg),P. Omega (deg),S. Name,S. Name HD,S. Name HIP,S. Constellation,S. Type,S. Mass (SU),S. Radius (SU),S. Teff (K),S. Luminosity (SU),S. [Fe/H],S. Age (Gyrs),S. Appar Mag,S. Distance (pc),S. RA (hrs),S. DEC (deg),S. Mag from Planet,S. Size from Planet (deg),S. No. Planets,S. No. Planets HZ,S. Hab Zone Min (AU),S. Hab Zone Max (AU),P. HZD,P. HZC,P. HZA,P. HZI,P. SPH,P. Int ESI,P. Surf ESI,P. ESI,S. HabCat,P. Habitable,P. Hab Moon,P. Confirmed,P. Disc. Method,P. Disc. Year,,CDHS_CRS(0.5*CDHSi+0.5*CDHSe), CDHS_CRS(0.6*CDHSi+0.4*CDHSe),CDHS_DRS(0.5*CDHSi+0.5*CDHSe),CDHS_DRS(0.6*CDHSi+0.4*CDHSe)
605,Kepler-303 c,Kepler-303 c,1515.02,Hot,Terran,rocky-iron,metals-rich,non-habitable,,1.35,,1.14,0.91,1.04,1.09,15.39466,15.39466,15.39466,504.6,504.6,504.6,539.5,1.8732638889,539.5,1.2,-20.45,2.17,7.06,0.057,0,0.0885511242,0.1106889053,0.06,,0,Kepler-303,,,Lyr,K,0.59,0.48,3944,0.050017,0.102,,,,18.8757,43.6571,-29.7,4.4889,2,0,0.182,0.461,-1.89,-0.17,-0.79,0.33,0,0,0,0.38,0,0,0,1,Primary Transit,2014,,1.506599,1.433278,1.506595,1.433275
606,Kepler-304 c,Kepler-304 c,1557.03,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,14.46,,2.17,1.41,3.06,2.58,73.38585,73.38585,73.38586,745.7,745.7,745.7,792.6,2.7520833333,792.6,20.4,-23.55,4.13,5.32,0.054,0,0.1031188623,0.1288985779,0.05,,0,Kepler-304,,,Cyg,K,0.8,0.69,4731,0.213993,0.523,,,,19.6295,40.5576,-31.4,6.8135,4,0,0.367,0.897,-2.18,-0.13,0.1,0.31,0,0,0,0.26,0,0,0,1,Primary Transit,2014,,2.460994,2.402793,2.460993,2.402793
607,Kepler-304 e,Kepler-304 e,,Hot,Terran,rocky-iron,no-atmosphere,non-habitable,,1.59,,1.2,0.93,1.11,1.15,378.0319,378.0319,378.032,1123.4,1123.4,1123.4,1159,4.0243055556,1159,1.5,-24.04,2.28,1.5,0.0238,0,0.0509669355,0.0637086694,0.02,,0,Kepler-304,,,Cyg,K,0.8,0.69,4731,0.213993,,,14.8,,19.6295,40.5576,-33.2,15.5024,4,0,0.367,0.897,-2.29,-0.17,-1.06,0.28,0,0,0,0.29,0,0,0,1,Transit,2016,,2.612042,2.329633,2.612042,2.329633
608,Kepler-306 b,Kepler-306 b,1567.02,Hot,Terran,rocky-iron,metals-rich,non-habitable,,3.69,,1.52,1.04,1.59,1.56,112.0569,112.057,112.057,828.9,828.9,828.9,868.7,3.0163194444,868.7,3.8,-23.24,2.89,4.65,0.05,0,0.0598266892,0.0747833615,0.05,,0,Kepler-306,,,Lyr,K,0.82,0.72,4954,0.280142,0.155,,,,19.2359,40.6161,-31.9,7.6797,4,0,0.415,1.006,-2.24,-0.15,-0.69,0.3,0,0,0,0.29,0,0,0,1,Primary Transit,2014,,2.268089,2.11847,2.26809,2.118471
609,Kepler-306 c,Kepler-306 c,1567.01,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,20.36,,2.35,1.57,3.68,2.94,62.40641,62.40641,62.40643,716.1,716.1,716.1,764.9,2.6559027778,764.9,31.9,-23.55,4.47,7.24,0.067,0,0.1086599413,0.1358249266,0.07,,0,Kepler-306,,,Lyr,K,0.82,0.72,4954,0.280142,0.155,,,,19.2359,40.6161,-31.2,5.7292,4,0,0.415,1.006,-2.18,-0.12,0.4,0.31,0,0,0,0.26,0,0,0,1,Primary Transit,2014,,2.644946,2.585954,2.644945,2.585953
610,Kepler-306 d,Kepler-306 d,1567.03,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,25.16,,2.46,1.68,4.14,3.2,19.45433,19.45433,19.45434,535.1,535.1,535.1,585.1,2.0315972222,585.1,42.3,-22.38,4.68,17.33,0.12,0,0.0592278732,0.0740348415,0.12,,0,Kepler-306,,,Lyr,K,0.82,0.72,4954,0.280142,0.155,,,,19.2359,40.6161,-30,3.1979,4,0,0.415,1.006,-2,-0.11,0.94,0.31,0,0,0,0.3,0,0,0,1,Primary Transit,2014,,2.829925,2.755938,2.829924,2.755936
611,Kepler-306 e,Kepler-306 e,1567.04,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,17.55,,2.27,1.49,3.39,2.78,5.436597,5.436597,5.436598,389,389,389,437,1.5173611111,437,26.2,-20.81,4.32,44.84,0.227,0,0.087474007,0.1093425088,0.23,,0,Kepler-306,,,Lyr,K,0.82,0.72,4954,0.280142,0.155,,,,19.2359,40.6161,-28.6,1.6904,4,0,0.415,1.006,-1.64,-0.12,0.99,0.34,0,0,0,0.44,0,0,0,1,Primary Transit,2014,,2.524939,2.47395,2.524941,2.473951
612,Kepler-307 b,Kepler-307 b,1576.01,Hot,Superterran,rocky-water,metals-rich,non-habitable,7.38,7.44,,2.43,0.52,1.26,1.75,113.3807,113.3807,113.3807,831.3,831.3,831.3,871.1,3.0246527778,871.1,3.9,-24.27,4.62,10.42,0.0859,0,0.0435102417,0.0543878021,0.09,,0,Kepler-307,,,Cyg,G,0.78,1.03,5445,0.836673,0.158,,14.1,,19.8531,40.4178,-31.9,6.3931,2,0,0.7,1.665,-2.27,0.96,-0.56,0.28,0,0,0,0.25,0,0,0,1,Primary Transit,2013,,2.727234,2.667779,2.727238,2.667783
613,Kepler-308 b,Kepler-308 b,1593.01,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,12.97,,2.12,1.37,2.9,2.48,118.1941,118.1941,118.1941,840,840,840,886.3,3.0774305556,886.3,17.7,-24.02,4.02,9.69,0.09,0,0.0430225458,0.0537781823,0.09,,0,Kepler-308,,,Cyg,G,1.04,0.94,5895,0.957372,-0.112,,,,19.719,40.4395,-31.9,5.5682,2,0,0.729,1.713,-2.3,-0.13,-0.08,0.3,0,0,0,0.26,0,0,0,1,Primary Transit,2014,,2.598645,2.502914,2.598644,2.502914
614,Kepler-308 c,Kepler-308 c,1593.02,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,14.15,,2.16,1.4,3.03,2.56,63.28059,63.2806,63.28062,718.6,718.6,718.6,765.3,2.6572916667,765.3,19.8,-23.38,4.11,15.38,0.123,0,0.1087032711,0.1358790889,0.12,,0,Kepler-308,,,Cyg,G,1.05,0.94,5895,0.957372,-0.112,,,,19.719,40.4395,-31.3,4.0735,2,0,0.729,1.713,-2.23,-0.13,0.12,0.31,0,0,0,0.27,0,0,0,1,Primary Transit,2014,,2.408601,2.358879,2.4086,2.358878
