Index,P. Name,P. Name Kepler,P. Name KOI,P. Zone Class,P. Mass Class,P. Composition Class,P. Atmosphere Class,P. Habitable Class,P. Min Mass (EU),P. Mass (EU),P. Max Mass (EU),P. Radius (EU),P. Density (EU),P. Gravity (EU),P. Esc Vel (EU),P. SFlux Min (EU),P. SFlux Mean (EU),P. SFlux Max (EU),P. Teq Min (K),P. Teq Mean (K),P. Teq Max (K),P. Ts Min (K),P. Ts Mean (K),P. Ts Max (K),P. Surf Press (EU),P. Mag,P. Appar Size (deg),P. Period (days),P. Sem Major Axis (AU),P. Eccentricity,Imputed Eccentricity,Imputed Eccentricity (EU),P. Mean Distance (AU),P. Inclination (deg),P. Omega (deg),S. Name,S. Name HD,S. Name HIP,S. Constellation,S. Type,S. Mass (SU),S. Radius (SU),S. Teff (K),S. Luminosity (SU),S. [Fe/H],S. Age (Gyrs),S. Appar Mag,S. Distance (pc),S. RA (hrs),S. DEC (deg),S. Mag from Planet,S. Size from Planet (deg),S. No. Planets,S. No. Planets HZ,S. Hab Zone Min (AU),S. Hab Zone Max (AU),P. HZD,P. HZC,P. HZA,P. HZI,P. SPH,P. Int ESI,P. Surf ESI,P. ESI,S. HabCat,P. Habitable,P. Hab Moon,P. Confirmed,P. Disc. Method,P. Disc. Year,,CDHS_CRS(0.5*CDHSi+0.5*CDHSe), CDHS_CRS(0.6*CDHSi+0.4*CDHSe),CDHS_DRS(0.5*CDHSi+0.5*CDHSe),CDHS_DRS(0.6*CDHSi+0.4*CDHSe)
845,Kepler-529 b,Kepler-529 b,,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,7.73,,1.86,1.2,2.24,2.04,1607.112,1607.113,1607.113,1613.1,1613.1,1613.1,1656.6,5.7520833333,1656.6,9.3,-26.58,3.53,1.98,0.0316,0,0.0701878777,0.0877348471,0.03,,0,Kepler-529,,,Dra,F,1.07,1.14,6087,1.60071,,3.98,13.8,787,19.0592,47.8804,-34.8,19.3417,2,0,0.932,2.179,-2.44,-0.14,-0.75,0.28,0,0,0,0.26,0,0,0,1,Transit,2016,,3.805887,3.416708,3.805887,3.416708
846,Kepler-529 c,Kepler-529 c,,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,10.17,,1.99,1.28,2.56,2.26,133.0043,133.0043,133.0043,865.2,865.2,865.2,910.2,3.1604166667,910.2,13.1,-24.01,3.79,12.83,0.1097,0,0.0979688868,0.1224611085,0.11,,0,Kepler-529,,,Dra,F,1.07,1.14,6087,1.60071,,3.98,13.8,787,19.0592,47.8804,-32.1,5.54,2,0,0.932,2.179,-2.32,-0.13,-0.24,0.3,0,0,0,0.26,0,0,0,1,Transit,2016,,2.575147,2.458116,2.575147,2.458116
847,Kepler-534 b,Kepler-534 b,,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,16.46,,2.24,1.46,3.28,2.71,64.98985,64.98985,64.98986,723.4,723.4,723.4,771,2.6770833333,771,24.1,-23.49,4.26,15.96,0.1261,0,0.1595266917,0.1994083646,0.13,,0,Kepler-534,,,Cyg,G,1.05,0.98,5884,1.032839,,1.58,13.2,473,19.7612,49.5401,-31.3,4.1437,1,0,0.758,1.781,-2.24,-0.12,0.22,0.31,0,0,0,0.26,0,0,0,1,Transit,2016,,2.474959,2.427965,2.474956,2.427962
848,Kepler-535 b,Kepler-535 b,,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,20.8,,2.36,1.58,3.72,2.97,571.1627,571.1628,571.1629,1245.5,1245.5,1245.5,1294.4,4.4944444444,1294.4,32.8,-25.97,4.49,4.9,0.0597,0,0.1122550252,0.1403187815,0.06,,0,Kepler-535,,,Cyg,F,1.18,1.27,6123,2.034015,,3.24,13.2,678,19.7711,49.6963,-33.7,11.36,1,0,1.048,2.449,-2.41,-0.12,-0.1,0.29,0,0,0,0.24,0,0,0,1,Transit,2016,,3.427126,3.213698,3.427127,3.213699
849,Kepler-537 b,Kepler-537 b,,Hot,Terran,rocky-iron,metals-rich,non-habitable,,2.81,,1.41,1,1.41,1.41,503.5829,503.5829,503.5829,1206.9,1206.9,1206.9,1245.3,4.3239583333,1245.3,2.8,-24.71,2.68,3.25,0.0439,0,0.1238084483,0.1547605604,0.04,,0,Kepler-537,,,Cyg,G,1.07,0.99,5763,0.969962,,1.45,13.1,465,19.3254,51.2771,-33.5,12.0435,1,0,0.74,1.744,-2.39,-0.16,-0.94,0.28,0,0,0,0.29,0,0,0,1,Transit,2016,,2.866879,2.575502,2.86688,2.575503
850,Kepler-538 b,Kepler-538 b,,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,17.18,,2.26,1.48,3.36,2.76,5.603653,5.603654,5.603655,392,392,392,439.8,1.5270833333,439.8,25.5,-20.84,4.3,81.74,0.3635,0,0.1328389876,0.1660487345,0.36,,0,Kepler-538,,,Cyg,G,0.96,0.9,5650,0.740574,,2.95,11.2,165,19.8325,49.6235,-28.6,1.3194,1,0,0.651,1.539,-1.65,-0.12,0.96,0.34,0,0,0,0.44,0,0,0,1,Transit,2016,,2.509946,2.459955,2.509945,2.459953
851,Kepler-539 c,Kepler-539 c,,Cold,Terran,rocky-iron,metals-rich,non-habitable,2.4,2.4,,1.35,0.98,1.32,1.33,0.1044352,0.2712397,0.9396011,144.8,174.4,250.8,182.5,0.7364583333,288.5,2.3,-16.56,2.56,1000,1.9887,0.5,0.5,0.625,1.72,,254.9,Kepler-539,,,Cyg,G2 V,1.05,0.95,5820,0.929028,,,12.4,313,19.9415,41.8668,-25.5,0.294,2,0,0.722,1.698,1.73,-0.16,0.14,0.36,0,0,0,0.58,0,0,0,1,Transit,2016,,1.339989,1.34199,1.339989,1.34199
852,Kepler-542 b,Kepler-542 b,,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,4.09,,1.57,1.06,1.66,1.62,59.88676,59.88677,59.88678,708.7,708.7,708.7,749,2.6006944444,749,4.3,-22.62,2.98,13.14,0.1064,0,0.188087617,0.2351095213,0.11,,0,Kepler-542,,,Cyg,G,0.93,0.9,5526,0.67767,,4.57,13.4,439,19.481,38.5486,-31.2,4.5099,1,0,0.627,1.488,-2.21,-0.15,-0.56,0.3,0,0,0,0.3,0,0,0,1,Transit,2016,,2.085305,1.982242,2.085304,1.982242
853,Kepler-543 b,Kepler-543 b,,Hot,Superterran,rocky-iron,hydrogen-rich,non-habitable,,26.81,,2.5,1.72,4.3,3.28,19.00745,19.00745,19.00745,532,532,532,582.4,2.0222222222,582.4,46.1,-22.38,4.75,13.9,0.1004,0,0.2519170603,0.3148963254,0.1,,0,Kepler-543,,,Lyr,K,0.7,0.67,4671,0.191725,,5.75,13.6,212,19.1479,38.8625,-29.9,3.5557,1,0,0.348,0.853,-1.98,-0.11,1.02,0.31,0,0,0,0.3,0,0,0,1,Transit,2016,,2.889947,2.811955,2.889946,2.811955
854,Kepler-544 b,Kepler-544 b,,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,12.97,,2.12,1.37,2.9,2.48,78.80303,78.80304,78.80305,759.1,759.1,759.1,805.4,2.7965277778,805.4,17.7,-23.57,4.02,21.42,0.1585,0,0.1513131866,0.1891414833,0.16,,0,Kepler-544,,,Cyg,F,1.16,1.22,6206,1.980872,,2.63,13.5,797,19.6019,39.0518,-31.5,4.1016,1,0,1.029,2.401,-2.27,-0.13,0.01,0.31,0,0,0,0.27,0,0,0,1,Transit,2016,,2.45822,2.390574,2.45822,2.390574
855,Kepler-556 b,Kepler-556 b,,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,16.46,,2.24,1.46,3.28,2.71,91.74644,91.74646,91.74648,788.5,788.5,788.5,836.1,2.903125,836.1,24.1,-23.86,4.26,11.72,0.101,0,0.1397204627,0.1746505784,0.1,,0,Kepler-556,,,Lyr,G,1,0.98,5740,0.935383,,4.17,14.1,729,19.3686,38.9427,-31.7,5.1741,1,0,0.727,1.716,-2.27,-0.12,0.14,0.31,0,0,0,0.26,0,0,0,1,Transit,2016,,2.571516,2.505211,2.571513,2.505207
856,Kepler-558 b,Kepler-558 b,,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,20.8,,2.36,1.58,3.72,2.97,14.51647,14.51647,14.51647,497.3,497.3,497.3,546.2,1.8965277778,546.2,32.8,-21.97,4.49,29.01,0.175,0,0.1977276864,0.247159608,0.17,,0,Kepler-558,,,Lyr,K,0.85,0.81,5242,0.444476,,4.47,14.8,652,18.9772,42.6527,-29.6,2.4671,1,0,0.516,1.236,-1.95,-0.12,0.84,0.32,0,0,0,0.32,0,0,0,1,Transit,2016,,2.664948,2.603955,2.664949,2.603956
857,Kepler-560 b,Kepler-560 b,,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,5.68,,1.71,1.13,1.93,1.82,1.714869,1.714869,1.714869,291.5,291.5,291.5,333.5,1.1579861111,333.5,6.4,-18.94,3.26,18.48,0.0954,0,0.1368074769,0.1710093461,0.1,,0,Kepler-560,,,Cyg,M,0.34,0.33,3556,0.015623,,4.07,14.7,88,20.0137,45.0181,-27.3,1.8426,1,0,0.102,0.264,-1.08,-0.15,0.33,0.47,0,0,0,0.74,0,0,0,1,Transit,2016,,1.764969,1.753974,1.764967,1.753973
858,Kepler-566 b,Kepler-566 b,,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,13.85,,2.15,1.39,2.99,2.54,23.60026,23.60026,23.60027,561.5,561.5,561.5,608.2,2.1118055556,608.2,19.3,-22.29,4.09,18.43,0.1283,0,0.2830891829,0.3538614786,0.13,,0,Kepler-566,,,Cyg,K,0.83,0.79,5132,0.38841,,4.57,15,628,19.437,47.8145,-30.2,3.2821,1,0,0.485,1.167,-2.05,-0.13,0.34,0.32,0,0,0,0.3,0,0,0,1,Transit,2016,,2.344966,2.305971,2.344968,2.305972
859,Kepler-567 b,Kepler-567 b,,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,16.81,,2.25,1.47,3.32,2.73,27.3742,27.3742,27.3742,582.7,582.7,582.7,630.5,2.1892361111,630.5,24.8,-22.55,4.28,16.54,0.1199,0,0.3017445852,0.3771807315,0.12,,0,Kepler-567,,,Cyg,K,0.84,0.79,5148,0.393277,,4.68,14.7,568,19.8448,48.3023,-30.3,3.513,1,0,0.488,1.172,-2.07,-0.12,0.46,0.32,0,0,0,0.29,0,0,0,1,Transit,2016,,2.489965,2.44197,2.489962,2.441967
860,Kepler-568 b,Kepler-568 b,,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,17.18,,2.26,1.48,3.36,2.76,8.057486,8.057486,8.057487,429.2,429.2,429.2,477.1,1.6565972222,477.1,25.5,-21.23,4.3,11.02,0.0794,0,0.1579821793,0.1974777241,0.08,,0,Kepler-568,,,Cyg,M,0.55,0.53,3768,0.050803,,5.89,14.3,126,19.8737,48.4012,-29,3.5576,1,0,0.184,0.47,-1.73,-0.12,0.84,0.34,0,0,0,0.38,0,0,0,1,Transit,2016,,2.50995,2.459958,2.509949,2.459956
861,Kepler-570 b,Kepler-570 b,,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,24.64,,2.45,1.67,4.09,3.17,259.8397,259.8397,259.8398,1022.9,1022.9,1022.9,1072.8,3.725,1072.8,41.1,-25.2,4.66,4.3,0.0505,0,0.0805390624,0.100673828,0.05,,0,Kepler-570,,,Cyg,G,0.93,0.9,5496,0.663074,,5.01,14.3,642,19.3625,48.7919,-32.8,9.5054,1,0,0.621,1.476,-2.34,-0.11,0.19,0.3,0,0,0,0.24,0,0,0,1,Transit,2016,,3.087421,2.959934,3.087421,2.959934
862,Kepler-574 b,Kepler-574 b,,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,21.7,,2.39,1.6,3.81,3.02,131.9452,131.9453,131.9453,863.5,863.5,863.5,912.6,3.16875,912.6,34.7,-24.4,4.53,7.66,0.0747,0,0.101153523,0.1264419038,0.07,,0,Kepler-574,,,Cyg,G,0.95,0.91,5612,0.736959,,4.17,14.5,747,19.3498,52.1491,-32.1,6.4924,1,0,0.651,1.54,-2.3,-0.12,0.25,0.3,0,0,0,0.25,0,0,0,1,Transit,2016,,2.779316,2.70145,2.779315,2.701449
863,Kepler-575 b,Kepler-575 b,,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,21.7,,2.39,1.6,3.81,3.02,116.0052,116.0052,116.0052,836.1,836.1,836.1,885.3,3.0739583333,885.3,34.7,-24.26,4.53,9.38,0.0861,0,0.1152156976,0.144019622,0.09,,0,Kepler-575,,,Lyr,G,0.97,0.95,5710,0.860759,,3.98,14.7,852,19.1309,37.8297,-31.9,5.8799,1,0,0.699,1.65,-2.29,-0.12,0.29,0.3,0,0,0,0.25,0,0,0,1,Transit,2016,,2.731925,2.663537,2.731923,2.663536
864,Kepler-578 b,Kepler-578 b,,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,10.17,,1.99,1.28,2.56,2.26,755.6506,755.6508,755.6509,1335.8,1335.8,1335.8,1380.7,4.7940972222,1380.7,13.1,-25.91,3.79,1.62,0.0257,0,0.0969050601,0.1211313251,0.03,,0,Kepler-578,,,Lyr,G,0.87,0.83,5334,0.500332,,4.68,14.4,568,19.2503,39.5637,-34,17.2548,1,0,0.545,1.301,-2.37,-0.13,-0.53,0.29,0,0,0,0.26,0,0,0,1,Transit,2016,,3.391938,3.111548,3.391937,3.111548
865,Kepler-579 b,Kepler-579 b,,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,10.17,,1.99,1.28,2.56,2.26,106.5099,106.51,106.51,818.5,818.5,818.5,863.4,2.9979166667,863.4,13.1,-23.77,3.79,9.67,0.0885,0,0.1267101123,0.1583876404,0.09,,0,Kepler-579,,,Cyg,G,0.99,0.96,5636,0.834289,,4.07,14.3,663,19.6668,39.9529,-31.8,5.783,1,0,0.691,1.635,-2.28,-0.13,-0.2,0.3,0,0,0,0.27,0,0,0,1,Transit,2016,,2.493905,2.393122,2.493905,2.393123
866,Kepler-583 b,Kepler-583 b,,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,17.55,,2.27,1.49,3.39,2.78,154.8073,154.8074,154.8074,898.7,898.7,898.7,946.6,3.2868055556,946.6,26.2,-24.47,4.32,6.51,0.0668,0,0.0890500516,0.1113125645,0.07,,0,Kepler-583,,,Lyr,G,0.94,0.91,5523,0.69131,,4.47,14.8,805,18.8074,42.3545,-32.2,7.2619,1,0,0.633,1.503,-2.3,-0.12,0.06,0.3,0,0,0,0.25,0,0,0,1,Transit,2016,,2.778337,2.676668,2.778339,2.676669
867,Kepler-587 b,Kepler-587 b,,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,16.11,,2.23,1.45,3.24,2.69,76.60901,76.60902,76.60903,753.7,753.7,753.7,801.2,2.7819444444,801.2,23.4,-23.66,4.24,10.94,0.0938,0,0.155499413,0.1943742663,0.09,,0,Kepler-587,,,Cyg,G,0.92,0.89,5549,0.673797,,4.79,14.9,852,19.2447,47.3991,-31.5,5.059,1,0,0.624,1.481,-2.24,-0.12,0.16,0.31,0,0,0,0.26,0,0,0,1,Transit,2016,,2.505929,2.450742,2.50593,2.450742
868,Kepler-589 b,Kepler-589 b,,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,17.55,,2.27,1.49,3.39,2.78,32.7928,32.79281,32.79281,609.7,609.7,609.7,657.6,2.2833333333,657.6,26.2,-22.77,4.32,16.55,0.1218,0,0.2941543581,0.3676929476,0.12,,0,Kepler-589,,,Dra,K,0.88,0.83,5296,0.486226,,4.47,14.7,643,18.7094,47.752,-30.5,3.6331,1,0,0.538,1.286,-2.11,-0.12,0.45,0.32,0,0,0,0.28,0,0,0,1,Transit,2016,,2.524964,2.473969,2.524964,2.473969
869,Kepler-592 b,Kepler-592 b,,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,21.7,,2.39,1.6,3.81,3.02,757.6031,757.6033,757.6034,1336.6,1336.6,1336.6,1385.8,4.8118055556,1385.8,34.7,-26.3,4.53,2.82,0.0396,0,0.0960011551,0.1200014439,0.04,,0,Kepler-592,,,Dra,G,1.04,1.04,5913,1.186283,,3.89,14.7,1034,19.0527,48.6833,-34,14.0413,1,0,0.811,1.904,-2.41,-0.12,-0.13,0.29,0,0,0,0.24,0,0,0,1,Transit,2016,,3.600796,3.358634,3.600794,3.358632
870,Kepler-594 b,Kepler-594 b,,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,14.46,,2.17,1.41,3.06,2.58,52.4292,52.4292,52.42921,685.5,685.5,685.5,732.5,2.5434027778,732.5,20.4,-23.19,4.13,13.65,0.1083,0,0.2135347894,0.2669184868,0.11,,0,Kepler-594,,,Cyg,G,0.91,0.87,5485,0.61466,,4.27,14.7,742,19.2614,49.762,-31,4.283,1,0,0.599,1.422,-2.19,-0.13,0.18,0.31,0,0,0,0.27,0,0,0,1,Transit,2016,,2.374965,2.33397,2.374965,2.33397
871,Kepler-597 b,Kepler-597 b,,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,20.8,,2.36,1.58,3.72,2.97,73.47449,73.4745,73.47452,745.9,745.9,745.9,794.8,2.7597222222,794.8,32.8,-23.74,4.49,13.02,0.1072,0,0.1595171026,0.1993963783,0.11,,0,Kepler-597,,,Cyg,G,0.97,0.95,5683,0.844593,,4.27,14.1,660,19.5647,39.2528,-31.4,4.7233,1,0,0.694,1.638,-2.24,-0.12,0.37,0.31,0,0,0,0.25,0,0,0,1,Transit,2016,,2.664952,2.603959,2.66495,2.603957
872,Kepler-598 b,Kepler-598 b,,Hot,Terran,rocky-iron,metals-rich,non-habitable,,3.49,,1.5,1.03,1.55,1.53,263.4558,263.4558,263.4558,1026.4,1026.4,1026.4,1065.9,3.7010416667,1065.9,3.6,-24.14,2.85,3.7,0.0447,0,0.080197169,0.1002464613,0.04,,0,Kepler-598,,,Cyg,G,0.87,0.86,5307,0.52636,,7.59,14.8,686,19.5416,40.9348,-32.8,10.2672,1,0,0.559,1.337,-2.32,-0.15,-0.81,0.29,0,0,0,0.28,0,0,0,1,Transit,2016,,2.600433,2.380345,2.600434,2.380346
873,Kepler-601 b,Kepler-601 b,,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,8.48,,1.9,1.23,2.34,2.11,122.6092,122.6092,122.6093,847.8,847.8,847.8,891.8,3.0965277778,891.8,10.4,-23.82,3.62,5.38,0.0569,0,0.1142536183,0.1428170229,0.06,,0,Kepler-601,,,Lyr,K,0.85,0.79,5160,0.396956,,4.07,14,429,18.8003,42.1765,-32,7.4042,1,0,0.49,1.176,-2.26,-0.14,-0.33,0.3,0,0,0,0.27,0,0,0,1,Transit,2016,,2.498204,2.378562,2.498206,2.378563
874,Kepler-602 b,Kepler-602 b,,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,12.15,,2.08,1.34,2.8,2.41,101.2045,101.2045,101.2045,808.1,808.1,808.1,854,2.9652777778,854,16.3,-23.81,3.96,15.28,0.1236,0,0.132067506,0.1650843825,0.12,,0,Kepler-602,,,Cyg,F,1.08,1.13,6062,1.547071,,3.16,14.5,971,19.7355,42.1419,-31.8,4.8721,1,0,0.917,2.147,-2.29,-0.13,-0.09,0.3,0,0,0,0.26,0,0,0,1,Transit,2016,,2.522586,2.434067,2.522588,2.434069
875,Kepler-603 d,Kepler-603 d,,Hot,Terran,rocky-iron,metals-rich,non-habitable,,2.23,,1.32,0.97,1.28,1.3,236.3846,236.3846,236.3847,999,999,999,1036.3,3.5982638889,1036.3,2.2,-23.74,2.51,6.22,0.0664,0,0.0760711559,0.0950889449,0.07,,0,Kepler-603,,,Cyg,G,1.01,1.01,5808,1.041452,,4.37,14.9,967,19.6187,42.291,-32.7,8.1158,3,0,0.764,1.8,-2.35,-0.16,-0.93,0.28,0,0,0,0.29,0,0,0,1,Transit,2016,,2.459046,2.231236,2.459046,2.231236
876,Kepler-605 b,Kepler-605 b,,Hot,Terran,rocky-iron,metals-rich,non-habitable,,2.97,,1.43,1.01,1.44,1.44,338.6262,338.6262,338.6263,1092.9,1092.9,1092.9,1131.6,3.9291666667,1131.6,3,-24.31,2.72,3.38,0.0427,0,0.0962861558,0.1203576948,0.04,,0,Kepler-605,,,Lyr,G,0.91,0.88,5462,0.618389,,4.47,14.1,570,19.153,43.2799,-33.1,10.991,2,0,0.601,1.43,-2.35,-0.16,-0.89,0.28,0,0,0,0.29,0,0,0,1,Transit,2016,,2.679491,2.429592,2.679492,2.429593
877,Kepler-605 c,Kepler-605 c,,Hot,Terran,rocky-iron,no-atmosphere,non-habitable,,0.53,,0.86,0.83,0.72,0.79,547.7594,547.7595,547.7596,1232.5,1232.5,1232.5,1263,4.3854166667,1263,0.4,-23.73,1.64,2.36,0.0336,0,0.1110695155,0.1388368944,0.03,,0,Kepler-605,,,Lyr,G,0.91,0.88,5462,0.618389,,4.47,14.1,570,19.153,43.2799,-33.6,13.9922,2,0,0.601,1.43,-2.37,-0.18,-1.3,0.27,0,0,0,0.29,0,0,0,1,Transit,2016,,2.622593,2.270075,2.692593,2.354074
878,Kepler-607 b,Kepler-607 b,,Hot,Terran,rocky-iron,no-atmosphere,non-habitable,,0.56,,0.87,0.84,0.73,0.8,2235.109,2235.11,2235.11,1751.7,1751.7,1751.7,1782.5,6.1892361111,1782.5,0.5,-25.29,1.66,0.64,0.0137,0,0.0660610433,0.0825763041,0.01,,0,Kepler-607,,,Cyg,K,0.84,0.8,5196,0.418549,,4.9,14.4,500,19.4038,44.6324,-35.1,31.552,1,0,0.502,1.204,-2.39,-0.18,-1.36,0.27,0,0,0,0.29,0,0,0,1,Transit,2016,,3.529421,2.997536,3.594419,3.075535
879,Kepler-611 b,Kepler-611 b,,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,4.89,,1.65,1.1,1.8,1.72,797.6432,797.6434,797.6436,1353.9,1353.9,1353.9,1395.1,4.8440972222,1395.1,5.4,-25.55,3.13,2.44,0.0356,0,0.094930919,0.1186636488,0.04,,0,Kepler-611,,,Lyr,G,1.01,1.01,5761,1.008148,,4.47,14.6,906,19.067,45.4804,-34,15.1843,1,0,0.754,1.778,-2.4,-0.15,-0.82,0.28,0,0,0,0.27,0,0,0,1,Transit,2016,,3.24693,2.927543,3.24693,2.927542
880,Kepler-613 b,Kepler-613 b,,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,17.93,,2.28,1.5,3.43,2.8,59.33199,59.33199,59.332,707.1,707.1,707.1,755.2,2.6222222222,755.2,26.9,-23.43,4.34,15.78,0.1223,0,0.1863601835,0.2329502294,0.12,,0,Kepler-613,,,Lyr,G,0.98,0.96,5723,0.887008,,4.27,14.6,864,18.8525,46.245,-31.2,4.1851,1,0,0.709,1.673,-2.22,-0.12,0.31,0.31,0,0,0,0.26,0,0,0,1,Transit,2016,,2.539957,2.487964,2.539959,2.487965
881,Kepler-614 b,Kepler-614 b,,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,21.7,,2.39,1.6,3.81,3.02,38.98206,38.98206,38.98207,636.6,636.6,636.6,685.8,2.38125,685.8,34.7,-23.07,4.53,14.03,0.1078,0,0.2481951514,0.3102439393,0.11,,0,Kepler-614,,,Cyg,K,0.85,0.81,5268,0.45336,,4.79,14.6,571,19.8923,46.276,-30.7,4.0035,1,0,0.52,1.245,-2.14,-0.12,0.58,0.31,0,0,0,0.27,0,0,0,1,Transit,2016,,2.704953,2.64196,2.704954,2.64196
882,Kepler-615 b,Kepler-615 b,,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,5.96,,1.74,1.14,1.98,1.85,28.62759,28.6276,28.6276,589.3,589.3,589.3,631.5,2.1927083333,631.5,6.8,-22.04,3.3,10.36,0.0837,0,0.263786061,0.3297325763,0.08,,0,Kepler-615,,,Lyr,K,0.73,0.69,4655,0.20057,,3.72,14.3,330,18.83,46.3214,-30.4,4.3941,1,0,0.356,0.874,-2.05,-0.15,-0.25,0.33,0,0,0,0.31,0,0,0,1,Transit,2016,,1.966328,1.921061,1.966324,1.921058
883,Kepler-616 b,Kepler-616 b,,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,23.62,,2.43,1.65,4,3.12,113.6699,113.6699,113.67,831.9,831.9,831.9,881.5,3.0607638889,881.5,38.9,-24.27,4.62,10,0.0902,0,0.120890363,0.1511129538,0.09,,0,Kepler-616,,,Cyg,G,0.98,0.97,5753,0.924721,,3.89,15,1019,19.6659,46.8383,-31.9,5.7336,2,0,0.723,1.704,-2.29,-0.11,0.36,0.3,0,0,0,0.25,0,0,0,1,Transit,2016,,2.774943,2.705952,2.774944,2.705952
884,Kepler-617 b,Kepler-617 b,,Hot,Terran,rocky-iron,metals-rich,non-habitable,,2.23,,1.32,0.97,1.28,1.3,80.24117,80.24118,80.24118,762.5,762.5,762.5,799.8,2.7770833333,799.8,2.2,-22.57,2.51,1.68,0.0221,0,0.1586587664,0.198323458,0.02,,0,Kepler-617,,,Lyr,M,0.51,0.48,3712,0.039247,,3.98,14.8,150,18.916,47.5163,-31.5,11.5861,1,0,0.162,0.415,-2.1,-0.16,-0.82,0.31,0,0,0,0.3,0,0,0,1,Transit,2016,,2.048491,1.902792,2.048492,1.902793
885,Kepler-619 c,Kepler-619 c,,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,5.4,,1.69,1.12,1.89,1.79,2708.475,2708.476,2708.476,1837.9,1837.9,1837.9,1879.6,6.5263888889,1879.6,6,-26.94,3.21,1.21,0.0228,0,0.054936958,0.0686711975,0.02,,0,Kepler-619,,,Cyg,G,1.09,1.11,5980,1.413645,,3.47,14.7,1111,19.3899,48.416,-35.4,26.118,2,0,0.881,2.066,-2.45,-0.15,-0.92,0.28,0,0,0,0.27,0,0,0,1,Transit,2016,,4.108,3.624398,4.107997,3.624396
886,Kepler-621 b,Kepler-621 b,,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,18.31,,2.3,1.51,3.47,2.82,155.3863,155.3863,155.3863,899.5,899.5,899.5,947.7,3.290625,947.7,27.7,-24.49,4.36,2.63,0.0334,0,0.0989043678,0.1236304598,0.03,,0,Kepler-621,,,Lyr,K,0.72,0.68,4521,0.173319,,3.63,14.9,389,19.3952,39.9141,-32.2,10.8668,1,0,0.333,0.821,-2.23,-0.12,0.09,0.31,0,0,0,0.25,0,0,0,1,Transit,2016,,2.795249,2.696197,2.795251,2.696198
887,Kepler-622 b,Kepler-622 b,,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,13.26,,2.13,1.38,2.93,2.5,10.55419,10.55419,10.55419,459.2,459.2,459.2,505.6,1.7555555556,505.6,18.2,-21.39,4.04,14.28,0.0993,0,0.1782291466,0.2227864333,0.1,,0,Kepler-622,,,Lyr,K,0.64,0.61,4201,0.103982,,3.47,14.7,259,18.9652,40.9331,-29.3,3.2755,1,0,0.26,0.652,-1.82,-0.13,0.52,0.34,0,0,0,0.36,0,0,0,1,Transit,2016,,2.314958,2.277965,2.31496,2.277966
888,Kepler-624 b,Kepler-624 b,,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,18.71,,2.31,1.52,3.51,2.85,120.2982,120.2982,120.2982,843.7,843.7,843.7,892.1,3.0975694444,892.1,28.5,-24.22,4.39,14.59,0.1206,0,0.1176365426,0.1470456783,0.12,,0,Kepler-624,,,Cyg,F,1.1,1.18,6117,1.749073,,3.72,13.5,731,19.6796,39.5397,-32,5.2169,1,0,0.972,2.272,-2.31,-0.12,0.17,0.3,0,0,0,0.25,0,0,0,1,Transit,2016,,2.703729,2.624981,2.70373,2.624982
